City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jiexiu,37.0244,111.9125,294.99,97,100,2.38,CN,2023-07-30
1,skibbereen,51.55,-9.2667,288.77,92,97,8.98,IE,2023-07-30
2,rikitea,-23.1203,-134.9692,293.85,65,87,11.39,PF,2023-07-30
3,cherskiy,68.75,161.3,278.26,97,100,0.99,RU,2023-07-30
4,teahupoo,-17.8333,-149.2667,294.13,79,96,8.24,PF,2023-07-30
5,neftcala,39.3742,49.2472,301.38,51,83,4.98,AZ,2023-07-30
6,new philadelphia,40.4898,-81.4457,289.74,96,17,0.45,US,2023-07-30
7,tuktoyaktuk,69.4541,-133.0374,286.11,69,0,5.84,CA,2023-07-30
8,tongren,27.7172,109.1853,301.16,86,69,1.26,CN,2023-07-30
9,cabo san lucas,22.8909,-109.9124,303.43,70,0,5.39,MX,2023-07-30
10,mataura,-46.1927,168.8643,281.19,97,12,1.81,NZ,2023-07-30
11,san andres,12.5847,-81.7006,301.16,83,40,5.66,CO,2023-07-30
12,latung,5.5,120.8833,301.37,82,41,5.23,PH,2023-07-30
13,simi,9.5667,-12.35,298.68,90,100,1.63,SL,2023-07-30
14,busselton,-33.65,115.3333,287.96,70,98,2.98,AU,2023-07-30
15,punta arenas,-53.15,-70.9167,273.51,73,29,5.9,CL,2023-07-30
16,champerico,14.3,-91.9167,298.6,82,97,2.16,GT,2023-07-30
17,lebu,-37.6167,-73.65,284.84,93,92,2.1,CL,2023-07-30
18,atuona,-9.8,-139.0333,299.2,71,52,11.72,PF,2023-07-30
19,pacsa,46.7198,17.014,293.81,88,20,2.06,HU,2023-07-30
20,provideniya,64.3833,-173.3,281.98,98,100,3.72,RU,2023-07-30
21,carnarvon,-24.8667,113.6333,291.89,54,0,5.58,AU,2023-07-30
22,tiksi,71.6872,128.8694,275.06,89,45,4.58,RU,2023-07-30
23,sur,22.5667,59.5289,311.05,45,7,3.41,OM,2023-07-30
24,dapaong,10.8639,0.205,302.87,60,100,4.56,TG,2023-07-30
25,albany,42.6001,-73.9662,287.82,86,45,2.68,US,2023-07-30
26,venado tuerto,-33.7456,-61.9688,280.8,57,88,3.47,AR,2023-07-30
27,mbandaka,0.0487,18.2603,304.37,49,37,0.95,CD,2023-07-30
28,kemijarvi,66.7131,27.4306,287.46,93,100,1.64,FI,2023-07-30
29,gorontalo,0.5412,123.0595,298.26,85,100,2.33,ID,2023-07-30
30,qaanaaq,77.484,-69.3632,280.03,84,90,0.17,GL,2023-07-30
31,vilhena,-12.7406,-60.1458,291.27,82,0,4.12,BR,2023-07-30
32,hilo,19.7297,-155.09,299.97,89,76,2.68,US,2023-07-30
33,khatanga,71.9667,102.5,302.56,30,7,4.99,RU,2023-07-30
34,leningradskiy,69.3833,178.4167,278.85,91,100,1.59,RU,2023-07-30
35,butaritari,3.0707,172.7902,301.47,79,91,3.03,KI,2023-07-30
36,upernavik,72.7868,-56.1549,276.65,88,50,3.07,GL,2023-07-30
37,bathsheba,13.2167,-59.5167,298.49,94,40,4.63,BB,2023-07-30
38,reyes,-14.3167,-67.3833,292.16,87,68,0.94,BO,2023-07-30
39,thompson,55.7435,-97.8558,286.24,94,100,2.57,CA,2023-07-30
40,palana,59.1167,159.9667,282.89,68,99,3.04,RU,2023-07-30
41,shingu,33.7333,135.9833,299.46,91,81,1.01,JP,2023-07-30
42,cidreira,-30.1811,-50.2056,285.43,82,3,4.37,BR,2023-07-30
43,hualmay,-11.0964,-77.6139,291.28,85,56,2.41,PE,2023-07-30
44,vaini,-21.2,-175.2,292.24,82,20,3.09,TO,2023-07-30
45,port alfred,-33.5906,26.891,287.14,63,80,7.15,ZA,2023-07-30
46,longyearbyen,78.2186,15.6401,283.06,62,75,4.63,SJ,2023-07-30
47,moree,-29.4667,149.85,290.34,52,59,3.17,AU,2023-07-30
48,gat,31.61,34.7642,307.26,100,0,6.66,IL,2023-07-30
49,benguela,-12.5763,13.4055,296.75,66,38,4.16,AO,2023-07-30
50,dikson,73.5069,80.5464,275.22,98,100,6.3,RU,2023-07-30
51,faanui,-16.4833,-151.75,300.14,69,99,7.02,PF,2023-07-30
52,bluff,-46.6,168.3333,281.37,83,58,7.01,NZ,2023-07-30
53,biskamzha,53.4497,89.5272,296.72,52,74,3.47,RU,2023-07-30
54,margate,51.3813,1.3862,295.2,52,43,4.02,GB,2023-07-30
55,kapaa,22.0752,-159.319,299.33,89,75,6.17,US,2023-07-30
56,moussoro,13.6408,16.4901,310.89,31,31,7.04,TD,2023-07-30
57,alofi,-19.0595,-169.9187,293.09,94,100,4.12,NU,2023-07-30
58,kommunisticheskiy,61.6789,64.4819,299.49,39,1,2.79,RU,2023-07-30
59,storslett,69.7678,21.0247,287.15,82,75,4.12,NO,2023-07-30
60,jamestown,42.097,-79.2353,287.85,100,3,0.95,US,2023-07-30
61,port elizabeth,-33.918,25.5701,287.31,67,20,15.95,ZA,2023-07-30
62,san policarpo,12.1791,125.5072,301.18,76,100,3.56,PH,2023-07-30
63,manbij,36.5281,37.9549,310.92,21,0,7.09,SY,2023-07-30
64,katsuura,35.1333,140.3,300.06,85,7,7.36,JP,2023-07-30
65,samfya,-11.3649,29.5565,302.68,17,8,1.1,ZM,2023-07-30
66,batemans bay,-35.7167,150.1833,287.65,60,0,3.1,AU,2023-07-30
67,biak,-0.9131,122.8766,297.87,83,100,2.94,ID,2023-07-30
68,san cristobal,7.7669,-72.225,297.25,95,64,2.19,VE,2023-07-30
69,hobart,-42.8794,147.3294,282.74,71,20,5.14,AU,2023-07-30
70,mahebourg,-20.4081,57.7,298.85,63,5,5.18,MU,2023-07-30
71,castro,-24.7911,-50.0119,282.4,92,86,1.44,BR,2023-07-30
72,hithadhoo,-0.6,73.0833,300.94,73,70,2.63,MV,2023-07-30
73,mvomero,-6.25,38.6667,303.28,44,59,2.7,TZ,2023-07-30
74,casablanca,33.5928,-7.6192,304.27,63,1,3.79,MA,2023-07-30
75,cavalcante,-13.7975,-47.4583,297.24,40,22,2.14,BR,2023-07-30
76,lewisporte,49.2499,-55.0482,288.99,95,100,2.32,CA,2023-07-30
77,road town,18.4167,-64.6167,301.52,76,66,7.44,VG,2023-07-30
78,gondar,12.6,37.4667,294.43,68,96,2.41,ET,2023-07-30
79,nikolskoye,59.7035,30.7861,297.09,40,30,3.12,RU,2023-07-30
80,mount isa,-20.7333,139.5,290.02,55,55,2.57,AU,2023-07-30
81,puerto ayora,-0.7393,-90.3518,296.23,97,51,3.22,EC,2023-07-30
82,yima,34.7381,111.8839,300.34,75,75,2.43,CN,2023-07-30
83,ushuaia,-54.8,-68.3,272.96,74,20,9.26,AR,2023-07-30
84,avarua,-21.2078,-159.775,296.18,100,75,2.06,CK,2023-07-30
85,nikolayevsk-na-amure,53.1406,140.73,288.72,98,100,1.62,RU,2023-07-30
86,grindavik,63.8424,-22.4338,285.41,87,100,4.63,IS,2023-07-30
87,saskylakh,71.9167,114.0833,295.98,34,7,5.01,RU,2023-07-30
88,vao,-22.6667,167.4833,292.1,74,19,7.51,NC,2023-07-30
89,caravelas,-17.7125,-39.2481,294.85,88,100,5.32,BR,2023-07-30
90,talnakh,69.4865,88.3972,296.04,65,96,0.31,RU,2023-07-30
91,cape town,-33.9258,18.4232,287.64,61,66,3.13,ZA,2023-07-30
92,brae,60.3964,-1.353,288.63,79,66,0.97,GB,2023-07-30
93,severo-kurilsk,50.6789,156.125,284.24,98,100,5.62,RU,2023-07-30
94,mount gambier,-37.8333,140.7667,281.62,78,19,3.4,AU,2023-07-30
95,manaus,-3.1019,-60.025,300.42,74,0,2.06,BR,2023-07-30
96,churu,28.3,74.95,308.84,43,51,6.26,IN,2023-07-30
97,sao filipe,14.8961,-24.4956,298.36,77,83,2.18,CV,2023-07-30
98,hambantota,6.1241,81.1185,308.34,52,20,7.2,LK,2023-07-30
99,nabire,-3.3667,135.4833,298.06,88,98,1.34,ID,2023-07-30
100,birin,26.8865,88.0718,295.89,82,81,1.25,NP,2023-07-30
101,muros,42.7762,-9.0603,296.95,62,41,3.82,ES,2023-07-30
102,mossendjo,-2.9506,12.7261,303.73,41,14,2.15,CG,2023-07-30
103,saldanha,-33.0117,17.9442,286.24,56,46,5.69,ZA,2023-07-30
104,maceio,-9.6658,-35.7353,298.04,82,22,3.09,BR,2023-07-30
105,mar del plata,-38.0023,-57.5575,284.87,79,100,1.79,AR,2023-07-30
106,chuy,-33.6971,-53.4616,280.28,91,89,2.83,UY,2023-07-30
107,de-kastri,51.4667,140.7833,289.61,99,100,1.99,RU,2023-07-30
108,new norfolk,-42.7826,147.0587,282.55,70,51,5.41,AU,2023-07-30
109,east london,-33.0153,27.9116,289.67,41,0,14.4,ZA,2023-07-30
